book,label,chunk_id,group,fw_ὁ,fw_καί,fw_αὐτός,fw_σύ,fw_δέ,fw_ἐν,fw_ἐγώ,fw_εἰμί,fw_εἰς,fw_οὐ,fw_ὅς,fw_οὗτος,fw_ὅτι,fw_πᾶς,fw_μή,fw_γάρ,fw_ἐκ,fw_ἐπί,fw_πρός,fw_ἵνα,fw_διά,fw_ἀπό,fw_ἀλλά,fw_τε,fw_ὡς,fw_κατά,fw_μετά,fw_ὑπό,fw_τίς,fw_οὖν,fw_εἰ,avg_sent_len,std_sent_len,avg_word_len,ttr,n_words
Titus,Titus,0,pastoral,92.42424242424242,54.54545454545454,12.121212121212121,12.121212121212121,12.121212121212121,19.696969696969695,28.78787878787879,24.242424242424242,3.0303030303030303,1.5151515151515151,13.636363636363635,7.575757575757576,1.5151515151515151,21.212121212121215,19.696969696969695,9.09090909090909,6.0606060606060606,3.0303030303030303,7.575757575757576,19.696969696969695,4.545454545454545,3.0303030303030303,6.0606060606060606,0.0,3.0303030303030303,12.121212121212121,6.0606060606060606,0.0,0.0,0.0,1.5151515151515151,19.352941176470587,15.809309158067702,5.655015197568389,0.6227272727272727,660
Heb,Heb,0,non_pauline,138.88888888888889,55.55555555555555,36.37566137566137,17.857142857142858,11.904761904761903,16.534391534391535,17.857142857142858,13.888888888888888,14.550264550264549,9.920634920634921,11.904761904761903,6.613756613756613,1.984126984126984,16.534391534391535,8.597883597883598,16.534391534391535,4.62962962962963,3.968253968253968,5.952380952380952,3.968253968253968,13.227513227513226,5.952380952380952,3.968253968253968,0.0,5.952380952380952,6.613756613756613,2.6455026455026456,2.6455026455026456,3.968253968253968,3.968253968253968,4.62962962962963,18.4390243902439,10.751174140048567,5.192460317460317,0.4689153439153439,1512
Heb,Heb,1,non_pauline,150.53050397877985,45.755968169761275,26.525198938992045,5.968169761273209,17.241379310344826,10.610079575596817,7.957559681697613,11.936339522546419,19.893899204244033,14.588859416445624,17.241379310344826,10.610079575596817,4.641909814323608,7.957559681697613,3.9787798408488064,18.56763925729443,5.305039787798409,7.957559681697613,2.6525198938992043,1.9893899204244032,11.936339522546419,4.641909814323608,1.9893899204244032,0.0,1.3262599469496021,17.241379310344826,3.9787798408488064,1.3262599469496021,0.6631299734748011,2.6525198938992043,3.9787798408488064,21.225352112676056,15.064366296604387,5.271400132714001,0.47480106100795755,1508
Heb,Heb,2,non_pauline,134.74445018069179,52.142488384099124,23.74806401652039,11.874032008260196,12.906556530717605,12.3902942694889,13.939081053175014,8.260196179659268,11.357769747031492,14.97160557563242,15.487867836861126,9.292720702116675,4.130098089829634,8.260196179659268,12.906556530717605,19.61796592669076,3.097573567372225,5.678884873515746,3.097573567372225,5.678884873515746,9.80898296334538,3.613835828600929,3.613835828600929,0.0,5.678884873515746,2.5813113061435207,6.7114093959731544,1.5487867836861124,1.5487867836861124,1.5487867836861124,1.5487867836861124,15.244094488188976,10.75622254291193,5.479855371900826,0.5193598347960764,1937
1Pet,1Pet,0,petrine_1,117.99761620977354,42.31227651966627,20.26221692491061,30.98927294398093,16.6865315852205,29.797377830750897,3.575685339690107,6.5554231227651965,25.029797377830754,7.747318235995232,18.474374255065555,6.5554231227651965,8.939213349225268,10.727056019070321,8.34326579261025,5.959475566150179,4.767580452920143,5.363528009535161,1.7878426698450536,7.747318235995232,10.727056019070321,2.9797377830750893,9.535160905840286,0.0,16.090584028605484,5.959475566150179,1.1918951132300357,1.1918951132300357,1.7878426698450536,3.575685339690107,8.939213349225268,18.22826086956522,12.686952610483052,5.387000596302922,0.50119189511323,1678
2Pet,2Pet,0,petrine_2,112.72727272727273,57.27272727272727,26.363636363636363,19.090909090909093,19.090909090909093,39.09090909090909,17.272727272727273,11.818181818181818,10.0,10.90909090909091,17.272727272727273,20.0,4.545454545454545,6.363636363636364,5.454545454545455,13.636363636363635,4.545454545454545,2.7272727272727275,1.8181818181818181,1.8181818181818181,6.363636363636364,2.7272727272727275,5.454545454545455,0.0,9.09090909090909,3.6363636363636362,0.9090909090909091,4.545454545454545,0.0,0.9090909090909091,1.8181818181818181,24.4,17.04164832924849,5.527322404371585,0.5618181818181818,1100
John,John,0,johannine_gospel,143.89920424403184,71.61803713527851,57.69230769230769,19.230769230769234,8.620689655172413,15.915119363395226,17.241379310344826,33.819628647214856,9.283819628647215,17.241379310344826,13.262599469496022,14.588859416445624,10.610079575596817,5.305039787798409,4.641909814323608,1.3262599469496021,13.925729442970823,2.6525198938992043,5.968169761273209,5.305039787798409,4.641909814323608,1.9893899204244032,3.3156498673740056,0.0,3.3156498673740056,0.6631299734748011,1.3262599469496021,0.6631299734748011,5.968169761273209,4.641909814323608,1.9893899204244032,13.962962962962964,8.305426523627128,4.654509283819628,0.3773209549071618,1508
John,John,1,johannine_gospel,150.06640106241701,45.1527224435591,55.112881806108895,16.600265604249667,11.952191235059761,16.600265604249667,15.936254980079681,27.888446215139442,16.600265604249667,13.944223107569721,15.272244355909695,12.616201859229747,18.59229747675963,7.304116865869854,7.304116865869854,11.288180610889775,11.288180610889775,2.6560424966799467,7.968127490039841,7.968127490039841,3.9840637450199203,0.0,4.648074369189907,0.0,1.9920318725099602,0.6640106241699867,5.9760956175298805,0.0,1.9920318725099602,11.952191235059761,0.6640106241699867,12.974137931034482,6.237347478470469,4.546843853820598,0.39641434262948205,1506
John,John,2,johannine_gospel,155.32055518836748,41.63912756113682,39.65631196298744,18.506278916060808,10.575016523463317,13.218770654329148,32.385988103106406,22.47191011235955,13.218770654329148,19.82815598149372,13.218770654329148,14.540647719762063,18.506278916060808,5.948446794448116,11.235955056179774,8.592200925313946,9.91407799074686,2.643754130865829,9.253139458030404,11.235955056179774,1.3218770654329146,1.9828155981493722,9.91407799074686,0.0,2.643754130865829,0.0,2.643754130865829,0.0,4.626569729015202,11.235955056179774,2.643754130865829,15.282828282828282,7.565258718349539,4.588235294117647,0.37409120951751484,1513
John,John,3,johannine_gospel,141.81091877496672,44.607190412782955,50.59920106524634,21.30492676431425,19.307589880159785,17.310252996005325,29.29427430093209,33.288948069241016,12.649800266311585,18.64181091877497,5.992010652463382,21.970705725699066,11.984021304926763,1.3315579227696406,11.984021304926763,5.326231691078562,17.310252996005325,1.9973368841544608,8.655126498002662,2.663115845539281,4.660452729693742,3.328894806924101,7.323568575233023,0.0,2.663115845539281,1.3315579227696406,1.9973368841544608,0.6657789613848203,6.657789613848202,14.647137150466046,1.3315579227696406,12.413223140495868,5.604999865804,4.591877496671105,0.3808255659121172,1502
John,John,4,johannine_gospel,118.22985468956406,52.17965653896962,50.85865257595773,35.00660501981506,10.568031704095112,11.228533685601057,44.253632760898284,44.91413474240423,7.926023778071334,26.42007926023778,7.265521796565389,16.512549537648614,28.401585204755616,0.6605019815059445,5.284015852047556,3.3025099075297226,11.889035667107,1.9815059445178336,2.642007926023778,4.623513870541612,2.642007926023778,1.9815059445178336,6.605019815059445,0.0,0.0,0.0,1.9815059445178336,0.0,7.265521796565389,16.512549537648614,4.623513870541612,11.283582089552239,5.904225580543809,4.568783068783069,0.32694848084544254,1514
John,John,5,johannine_gospel,143.14247669773636,55.25965379494008,55.9254327563249,13.981358189081226,15.978695073235686,12.649800266311585,31.957390146471372,27.96271637816245,9.986684420772303,19.307589880159785,7.989347536617843,13.315579227696404,19.307589880159785,3.9946737683089215,6.657789613848202,0.6657789613848203,8.655126498002662,0.6657789613848203,7.323568575233023,9.320905459387484,5.992010652463382,3.328894806924101,7.323568575233023,0.0,3.9946737683089215,0.6657789613848203,2.663115845539281,0.0,1.9973368841544608,12.649800266311585,5.326231691078562,13.060869565217391,7.225903832765702,4.585219707057257,0.39081225033288947,1502
John,John,6,johannine_gospel,144.65826144658263,47.777040477770406,47.777040477770406,16.5892501658925,13.271400132714001,7.299270072992701,29.197080291970803,19.2435301924353,19.907100199071003,15.925680159256803,7.299270072992701,18.5799601857996,14.598540145985401,3.981420039814201,8.626410086264102,3.981420039814201,12.607830126078301,3.3178500331785004,3.981420039814201,14.598540145985401,6.635700066357001,3.981420039814201,10.617120106171201,0.0,1.3271400132714002,0.0,4.6449900464499,0.0,9.2899800928998,15.262110152621101,1.9907100199071004,14.48076923076923,8.094372177429548,4.590305444887118,0.40743198407431985,1507
John,John,7,johannine_gospel,108.19672131147541,52.459016393442624,26.885245901639344,63.60655737704918,12.459016393442624,25.573770491803277,72.78688524590164,18.360655737704917,5.901639344262295,21.639344262295083,12.459016393442624,13.114754098360656,22.295081967213118,6.557377049180328,10.491803278688524,2.622950819672131,5.245901639344262,0.0,8.524590163934427,13.77049180327869,4.590163934426229,3.278688524590164,7.868852459016393,0.0,0.6557377049180327,0.0,3.9344262295081966,0.6557377049180327,2.622950819672131,1.9672131147540983,7.868852459016393,12.373983739837398,6.117279768989917,4.360709592641261,0.3265573770491803,1525
John,John,8,johannine_gospel,130.14608233731738,54.44887118193891,49.136786188579016,37.84860557768924,14.608233731739707,20.584329349269588,42.49667994687915,33.86454183266932,10.624169986719787,16.600265604249667,14.608233731739707,13.280212483399735,17.264276228419654,5.3120849933598935,4.648074369189907,1.3280212483399734,11.288180610889775,1.3280212483399734,4.648074369189907,17.928286852589643,1.3280212483399734,2.6560424966799467,4.648074369189907,0.0,0.6640106241699867,0.6640106241699867,5.9760956175298805,0.0,5.9760956175298805,13.280212483399735,3.9840637450199203,13.060869565217391,7.038140758098892,4.486684420772304,0.35856573705179284,1506
John,John,9,johannine_gospel,150.65185900531145,62.288749396426844,50.217286335103815,20.280057943022694,15.45147271849348,6.760019314340898,16.417189763399325,23.660067600193145,13.520038628681796,12.071463061323033,6.760019314340898,14.96861419604056,12.554321583775954,1.931434089811685,5.794302269435056,3.380009657170449,4.8285852245292125,3.86286817962337,7.242877836793819,6.277160791887977,2.4142926122646062,3.380009657170449,3.86286817962337,0.0,2.897151134717528,1.448575567358764,4.345726702076291,0.0,4.8285852245292125,21.245774987928534,1.448575567358764,13.025157232704403,7.4233607855631245,4.694350555287301,0.35200386286817964,2071
